Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26083308,"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations",Gene Kim,"Kim, Gene","Patrick Debois, John Willis, Jez Humble","=""1942788002""","=""9781942788003""",5,IT Revolution Press,Paperback,442,2016,2015,,2019/04/13,"non-technical, technical, agile","non-technical (#63), technical (#7), agile (#1)",read,,,,1,1
252265,"Little Green Book of Getting Your Way: How to Speak, Write, Present, Persuade, Influence, and Sell Your Point of View to Others",Jeffrey Gitomer,"Gitomer, Jeffrey",,"=""0131576070""","=""9780131576070""",3,FT Press,Hardcover,202,2007,2007,,2019/04/13,"non-technical, communication","non-technical (#35), communication (#10)",read,,,,1,0
71734,"Nonviolent Communication: Create Your Life, Your Relationships, and Your World in Harmony with Your Values",Marshall B. Rosenberg,"Rosenberg, Marshall B.",,"=""""","=""""",5,Sounds True,Audio CD,0,2004,1999,,2019/04/13,"non-technical, communication","non-technical (#30), communication (#5)",read,,,,1,1
2965646,Transparency: How Leaders Create a Culture of Candor,Warren Bennis,"Bennis, Warren","James O'Toole, Daniel Goleman","=""0470278765""","=""9780470278765""",5,Jossey-Bass Inc Pub,Hardcover,130,2008,2008,,2019/04/13,"non-technical, communication","non-technical (#28), communication (#6)",read,,,,1,1
24600345,From Contempt to Curiosity: Creating the Conditions for Groups to Collaborate Using Clean Language & Systemic Modelling™,Caitlin Walker,"Walker, Caitlin",,"=""""","=""""",4,Clean Publishing,Kindle Edition,272,2014,2014,,2019/04/13,"non-technical, communication","non-technical (#34), communication (#9)",read,,,,1,0
35414701,Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones,"Jones, Phil M.",,"=""0692881956""","=""9780692881958""",5,Box of Tricks Publishing,Paperback,148,2017,2017,,2019/04/13,"non-technical, communication","non-technical (#31), communication (#7)",read,,,,1,0
36255221,"The Science of Social Intelligence: 33 Studies to Win Friends, Be Magnetic, Make An Impression, and Use People’s Subconscious Triggers",Patrick King,"King, Patrick",,"=""""","=""""",5,Big Mind LLC,Kindle Edition,116,2017,,,2019/04/13,"non-technical, communication","non-technical (#32), communication (#8)",read,,,,1,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",5,McGraw-Hill,Paperback,240,2002,2002,,2019/04/13,"non-technical, communication","non-technical (#26), communication (#2)",read,,,,1,1
8125556,Transparency: How Leaders Create a Culture of Candor (J-B Warren Bennis Series Book 157),Warren Bennis,"Bennis, Warren","James O'Toole, Patricia Ward Biederman","=""""","=""""",5,,Kindle Edition,145,,2008,,2019/04/13,"non-technical, communication","non-technical (#29), communication (#1)",read,,,,1,1
28809238,Crucial Confrontations,Kerry Patterson,"Patterson, Kerry","Joseph Grenny, Ron McMillan, Al Switzler","=""0070600058""","=""9780070600058""",5,Tata Mcgraw Hill,Paperback,0,,2004,,2019/04/13,"non-technical, communication","non-technical (#27), communication (#3)",read,,,,1,1
